CALENDAR_YEAR,COUNTY,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,
2015,Allegany,RESTITUTION SURCHARGE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,68989,
2015,Allegany,OTHER PUBLIC SAFETY DEPARTMENTAL INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,164550,
2015,Allegany,PUBLIC HEALTH FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,183760,
2015,Allegany,CHARGES FOR CARE OF HANDI CHILDREN,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,296852,
2015,Allegany,HOME NURSING CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,132151,
2015,Allegany,"CENTRAL SERVICES ADMIN,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,132681,
2015,Allegany,MENTAL HEALTH FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,430570,
2015,Allegany,"BUILDINGS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,464361,
2015,Allegany,"BUILDINGS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,13062,
2015,Allegany,"BUILDINGS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,621470,
2015,Allegany,EARLY INTERVEN FEES FOR SERV,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,189939,
2015,Allegany,MENTAL HEALTH CONTRI FROM PRIVATE AGENCY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,-15643,
2015,Allegany,"CENTRAL PRINT & MAIL,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,21141,
2015,Allegany,"CENTRAL DATA PROCESS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,256041,
2015,Allegany,CENTRAL DATA PROCESS & CAP OUTLAY,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,19946,
2015,Allegany,"CENTRAL DATA PROCESS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,50222,
2015,Allegany,PUBLIC WORKS CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,5865,
2015,Allegany,BUS OPERATIONS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,TRANSPORTATION FEES,,40093,
2015,Allegany,REPAY OF MEDICAL ASSISTANCE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,50,
2015,Allegany,REPAYMENT OF FAMILY ASSISTANCE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,388798,
2015,Allegany,MEDICAL INCENTIVE EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,37445,
2015,Allegany,REPAYMENT OF CHILD CARE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,58248,
2015,Allegany,REPAYMENT OF JUVENILE DELINQUENT CARE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,,
2015,Allegany,REPAYMENT OF SAFETY NET ASSISTANCE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,204062,
2015,Allegany,REPAYMENT OF HOME ENERGY ASSIS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,87647,
2015,Allegany,REPAYMENT OF EMERGENCY CARE FOR ADULTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,1231,
2015,Allegany,REPAYMENTS OF DAY CARE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,1539,
2015,Allegany,REPAYMENTS OF SERVICES FOR RECIPIENTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,2119,
2015,Allegany,"UNALLOCATED INSURANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,247756,
2015,Allegany,"MUNICIPAL ASSN DUES, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,6451,
2015,Allegany,"TAXES & ASSESS ON MUNIC PROP, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,462,
2015,Allegany,CHARGES-PROGRAMS FOR THE AGING,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,194781,
2015,Allegany,OTHER ECONOMIC ASSISTANCE & OPPORTUNITY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,2200,
2015,Allegany,CASH IN TIME DEPOSITS,BALANCE SHEET,CURRENT ASSETS,,,,29638556,
2015,Allegany,PETTY CASH,BALANCE SHEET,CURRENT ASSETS,,,,9775,
2015,Allegany,REFUSE & GARBAGE CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SANITATION FEES,,1451951,
2015,Allegany,"GENERAL SERVICES, INTER GOVERNMENT",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,GENERAL GOVERNMENT CHARGES,,88805,
2015,Allegany,ELECTION SERVICE CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,GENERAL GOVERNMENT CHARGES,,37449,
2015,Allegany,PUBLIC SAFETY SERVICES FOR OTHER GOVTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,PUBLIC SAFETY CHARGES,,3129507,
2015,Allegany,HEALTH SERVICES FOR OTHER GOVTS OR DIST,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,HEALTH CHARGES,,33229,
2015,Allegany,"TRANSPORTATION SERVICES, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,TRANSPORTATION CHARGES,,1,
2015,Allegany,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,104889,
2015,Allegany,RENTAL OF REAL PROPERTY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,15719,
2015,Allegany,"COMMUNITY COLLEGE TUITION,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EDUCATION,COMMUNITY COLLEGE,Contractual,944060,
2015,Allegany,"LICENSES, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,7464,
2015,Allegany,"TAXES RECEIVABLE, OVERDUE",BALANCE SHEET,CURRENT ASSETS,,,,3645612,
2015,Allegany,FINES AND FORFEITED BAIL,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FINES,,177725,
2015,Allegany,STOP-DWI FINES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FINES,,88607,
2015,Allegany,SALES OF SCRAP & EXCESS MATERIALS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,91418,
2015,Allegany,SALES OF FOREST PRODUCTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,31383,
2015,Allegany,"SALES, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,4229,
2015,Allegany,SALES OF REAL PROPERTY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,700,
2015,Allegany,SALES OF EQUIPMENT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,,
2015,Allegany,OTHER COMPENSATION FOR LOSS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,COMPENSATION FOR LOSS,,726547,
2015,Allegany,REFUNDS OF PRIOR YEAR'S EXPENDITURES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,2497426,
2015,Allegany,GIFTS AND DONATIONS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,GIFTS,,25164,
2015,Allegany,VLT/TRIBAL-STATE COMPACT MONEYS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,265604,
2015,Allegany,UNCLASSIFIED (SPECIFY),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,753,
2015,Allegany,RETURNED SCHOOL TAXES RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,2957186,
2015,Allegany,INTERFUND REVENUES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,1068797,
2015,Allegany,DELINQUENT VILLAGE TAXES REC,BALANCE SHEET,CURRENT ASSETS,,,,524328,
2015,Allegany,"EDUCATION HANDICAPPED CHILDREN,CONTR EXPEN",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EDUCATION,MISCELLANEOUS EDUCATION,Contractual,1714815,
2015,Allegany,"TAXES RECEIVABLE, PENDING",BALANCE SHEET,CURRENT ASSETS,,,,488326,
2015,Allegany,"PUBLIC SAFETY COMM SYS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Personal Services,878029,
2015,Allegany,"PUBLIC SAFETY COMM SYS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Equipment and Capital Outlay,19565,
2015,Allegany,"PUBLIC SAFETY COMM SYS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Contractual,90807,
2015,Allegany,"STATE AID, INDIGENT LEGAL SERVICES FUND",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,180225,
2015,Allegany,"ST AID, DISTRICT ATTORNEY SALARIES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,122331,
2015,Allegany,ST AID - OTHER (SPECIFY),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,MISCELLANEOUS STATE AID,,303188,
2015,Allegany,"SHERIFF,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Personal Services,1233592,
2015,Allegany,"SHERIFF, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Equipment and Capital Outlay,10637,
2015,Allegany,"SHERIFF, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,178773,
2015,Allegany,"PROBATION, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Personal Services,728605,
2015,Allegany,"PROBATION, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Equipment and Capital Outlay,6456,
2015,Allegany,"PROBATION, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Contractual,60988,
2015,Allegany,"PROBATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,26086,
2015,Allegany,"JAIL, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Personal Services,4709322,
2015,Allegany,"JAIL, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Equipment and Capital Outlay,30961,
2015,Allegany,"JAIL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Contractual,555596,
2015,Allegany,"JAIL INDUSTRIES, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Personal Services,168366,
2015,Allegany,"JAIL INDUSTRIES, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Equipment and Capital Outlay,47353,
2015,Allegany,"JAIL INDUSTRIES, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Contractual,456963,
2015,Allegany,"OTHER CORRECTION AGENCY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Contractual,,
2015,Allegany,"OTHER TRAFFIC, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,2995,
2015,Allegany,"ST AID, EDUCATION OF HANDICAPPED CHILD",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - EDUCATION,,1011758,
2015,Allegany,"ST AID, CIVIL DEFENSE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,33825,
2015,Allegany,"STATE AID, HOMELAND SECURITY",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,185216,
2015,Allegany,"ST AID, PROBATION SERVICES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,162482,
2015,Allegany,"TRAFFIC CONTROL, CONTR EXPEN",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,1868,
2015,Allegany,"ST AID, NAVIGATION LAW ENFORCEMENT",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,31426,
2015,Allegany,"STOP DWI,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Personal Services,36108,
2015,Allegany,"STOP DWI, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Equipment and Capital Outlay,134,
2015,Allegany,"STOP DWI,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,102147,
2015,Allegany,"STOP DWI, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,19144,
2015,Allegany,"ST AID, UNIFIED COURT BUDGET SEC COSTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,199713,
2015,Allegany,"ST AID, OTHER PUBLIC SAFETY",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,-30136,
2015,Allegany,"ST AID, PUBLIC HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,805357,
2015,Allegany,"FIRE, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,FIRE PROTECTION,Equipment and Capital Outlay,9212,
2015,Allegany,"FIRE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,FIRE PROTECTION,Contractual,93137,
2015,Allegany,ST AID HANDICAPPED CHILDREN,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,3250,
2015,Allegany,"ST AID, PUBLIC HEALTH, OTHER",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,289974,
2015,Allegany,"ST AID, SPECIAL HEALTH PROGRAMS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,37105,
2015,Allegany,"ST AID, OTHER HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,205552,
2015,Allegany,"ST AID, MENTAL HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,2152712,
2015,Allegany,"ST AID, OTHER TRANSPORTATION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - TRANSPORTATION,,665532,
2015,Allegany,"ST AID, MEDICAL ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,-407178,
2015,Allegany,"ST AID, FAMILY ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,418,
2015,Allegany,"ST AID, SOCIAL SERVICES ADMINISTRATION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,908058,
2015,Allegany,"ST AID, CHILD CARE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,1610904,
2015,Allegany,"ST AID, SAFETY NET",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,387995,
2015,Allegany,"CIVIL DEFENSE, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,HOMELAND SECURITY AND CIVIL DEFENSE,Personal Services,94329,
2015,Allegany,"CIVIL DEFENSE, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,HOMELAND SECURITY AND CIVIL DEFENSE,Equipment and Capital Outlay,590,
2015,Allegany,"CIVIL DEFENSE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,HOMELAND SECURITY AND CIVIL DEFENSE,Contractual,72708,
2015,Allegany,"ST AID, EMERGENCY AID FOR ADULTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,16762,
2015,Allegany,"HOMELAND SECURITY, PERSONAL SERVICES",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,HOMELAND SECURITY AND CIVIL DEFENSE,Personal Services,24442,
2015,Allegany,"HOMELAND SECURITY, EQUIP. AND CAPITAL OUTL",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,HOMELAND SECURITY AND CIVIL DEFENSE,Equipment and Capital Outlay,125393,
2015,Allegany,"HOMELAND SECURITY, CONTRACTUAL EXPENDITURE",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,HOMELAND SECURITY AND CIVIL DEFENSE,Contractual,7516,
2015,Allegany,"ST AID, DAY CARE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,439300,
2015,Allegany,"ST AID, SERVICES FOR RECIPIENTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,477506,
2015,Allegany,"ST AID, VETERANS SERVICE AGENCIES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - COMMUNITY SERVICES,,8529,
2015,Allegany,"ST AID, TOURISM PROMOTION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - ECONOMIC DEVELOPMENT,,53911,
2015,Allegany,"ST AID, PROGRAMS FOR AGING",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - COMMUNITY SERVICES,,535426,
2015,Allegany,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,2150544,
2015,Allegany,"ST AID, YOUTH PROGRAMS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - CULTURE AND RECREATION,,50679,
2015,Allegany,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,3281937,
2015,Allegany,"ST AID, OTHER HOME AND COMM SERV",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - COMMUNITY SERVICES,,9593,
2015,Allegany,"STATE AND FEDERAL, SOCIAL SERVICES",BALANCE SHEET,CURRENT ASSETS,,,,-181280,
2015,Allegany,MMIS DEPOSIT WITH STATE,BALANCE SHEET,CURRENT ASSETS,,,,199854,
2015,Allegany,"PUBLIC HEALTH, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH ADMINISTRATION,Personal Services,1388391,
2015,Allegany,"PUBLIC HEALTH, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH ADMINISTRATION,Equipment and Capital Outlay,51365,
2015,Allegany,"PUBLIC HEALTH, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH ADMINISTRATION,Contractual,220038,
2015,Allegany,"FAMILY HEALTH PLAN SER, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Equipment and Capital Outlay,6304,
2015,Allegany,"FAMILY HEALTH PLAN SER, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,59558,
2015,Allegany,"FAMILY HEALTH PLAN SER,EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,11356,
2015,Allegany,"PHYSICALLY HANDICAPPED, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,6628,
2015,Allegany,"PUBLIC HEALTH OTHER, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MISCELLANEOUS PUBLIC HEALTH,Equipment and Capital Outlay,25126,
2015,Allegany,"PUBLIC HEALTH OTHER, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MISCELLANEOUS PUBLIC HEALTH,Contractual,387787,
2015,Allegany,"PUBLIC HEALTH OTHER, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,30066,
2015,Allegany,"IMMUNIZATION OF CHILD, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,7765,
2015,Allegany,"EARLY INTERVEN PGM,EQUIP&CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Equipment and Capital Outlay,,
2015,Allegany,"EARLY INTERVENTION PGM,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,212508,
2015,Allegany,"WIC PROGRAM & ENAP, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Equipment and Capital Outlay,28436,
2015,Allegany,"WIC PROGRAM & ENAP,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,104337,
2015,Allegany,"WIC PROGRAM & ENAP,EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNCLASSIFIED EMPLOYEE BENEFITS,Employee Benefits,75566,
2015,Allegany,"STATE & FEDERAL, OTHER",BALANCE SHEET,CURRENT ASSETS,,,,1102558,
2015,Allegany,"OTHER PUBLIC HEALTH, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MISCELLANEOUS PUBLIC HEALTH,Equipment and Capital Outlay,1430,
2015,Allegany,"OTHER PUBLIC HEALTH, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MISCELLANEOUS PUBLIC HEALTH,Contractual,16059,
